time_s,explicit_euler,semi_implicit_euler,leapfrog,rk4
14.95,0.101944,0.0290997,0.0146763,0.00060451
14.9667,0.101968,0.0291006,0.0146772,0.000604933
14.9833,0.101991,0.0291014,0.014678,0.000606116
15,0.102015,0.029101,0.014678,0.000606877
15.0167,0.102039,0.0291024,0.0146769,0.000605947
15.0333,0.102063,0.0291037,0.0146769,0.000605778
15.05,0.102085,0.0291037,0.0146774,0.000606285
15.0667,0.10211,0.0291043,0.0146763,0.000606116
15.0833,0.102133,0.0291052,0.0146763,0.000605609
15.1,0.102157,0.0291046,0.0146763,0.000605609
15.1167,0.102179,0.0291045,0.0146762,0.000605271
15.1333,0.102204,0.0291045,0.0146765,0.000605778
15.15,0.102228,0.0291067,0.0146761,0.000606201
15.1667,0.102252,0.0291077,0.0146759,0.000605863
15.1833,0.102275,0.0291072,0.0146758,0.000606116
15.2,0.102299,0.029107,0.0146756,0.000605863
15.2167,0.102321,0.0291066,0.0146765,0.000604933
15.2333,0.102345,0.0291057,0.0146781,0.000606539
15.25,0.102368,0.029106,0.0146788,0.000606792
15.2667,0.102391,0.0291063,0.0146776,0.000606961
15.2833,0.102414,0.0291068,0.014679,0.000608313
15.3,0.102438,0.0291075,0.0146793,0.000608482
15.3167,0.102461,0.0291079,0.0146791,0.000608398
15.3333,0.102484,0.0291066,0.0146779,0.000607215
15.35,0.102507,0.0291077,0.0146778,0.000607468
15.3667,0.102531,0.0291083,0.0146777,0.000606961
15.3833,0.102555,0.0291095,0.0146778,0.000606623
15.4,0.102578,0.02911,0.014676,0.000605525
15.4167,0.102603,0.0291099,0.0146758,0.000604257
15.4333,0.102626,0.0291102,0.0146747,0.000605017
15.45,0.102649,0.0291111,0.0146764,0.000605187
15.4667,0.102672,0.0291118,0.0146765,0.000605778
15.4833,0.102696,0.0291124,0.0146768,0.000605525
15.5,0.102719,0.0291117,0.0146779,0.000606454
15.5167,0.102742,0.0291122,0.0146764,0.000605356
15.5333,0.102764,0.0291126,0.0146779,0.000606961
15.55,0.102789,0.029112,0.0146786,0.000607468
15.5667,0.102811,0.0291115,0.0146785,0.000607468
15.5833,0.102833,0.0291119,0.0146782,0.000607722
15.6,0.102857,0.0291126,0.0146773,0.000607299
15.6167,0.102881,0.0291141,0.0146777,0.00060806
15.6333,0.102904,0.0291142,0.0146778,0.00060713
15.65,0.102927,0.029115,0.0146777,0.000606877
15.6667,0.102949,0.0291153,0.0146777,0.000607299
15.6833,0.102971,0.0291155,0.0146773,0.000606539
15.7,0.102995,0.0291151,0.0146791,0.000607975
15.7167,0.103018,0.0291161,0.0146789,0.000607299
15.7333,0.10304,0.0291168,0.0146785,0.000607891
15.75,0.103064,0.0291177,0.0146768,0.000606792
15.7667,0.103087,0.0291175,0.0146766,0.000606116
15.7833,0.103108,0.0291176,0.014676,0.000605187
15.8,0.103132,0.0291177,0.0146754,0.000606032
15.8167,0.103155,0.0291194,0.0146753,0.000606454
15.8333,0.10318,0.0291204,0.0146756,0.000606201
15.85,0.103204,0.0291203,0.0146761,0.00060637
15.8667,0.103226,0.0291194,0.0146756,0.000604764
15.8833,0.103248,0.0291204,0.0146747,0.000605187
15.9,0.103271,0.029121,0.0146761,0.000605525
15.9167,0.103293,0.0291204,0.014676,0.000605271
15.9333,0.103316,0.0291205,0.0146763,0.000606623
15.95,0.10334,0.0291206,0.0146763,0.000605356
15.9667,0.103361,0.0291216,0.0146775,0.00060637
15.9833,0.103385,0.0291221,0.0146781,0.000607722
16,0.103406,0.0291219,0.0146784,0.000608313
16.0167,0.10343,0.0291234,0.0146779,0.000607806
16.0333,0.103452,0.0291232,0.0146763,0.000607468
16.05,0.103475,0.0291243,0.0146774,0.00060806
16.0667,0.103498,0.0291247,0.0146773,0.000606877
16.0833,0.103521,0.0291237,0.0146787,0.000607806
16.1,0.103544,0.0291242,0.0146788,0.000606877
16.1167,0.103566,0.029125,0.0146792,0.000607468
16.1333,0.10359,0.0291258,0.0146774,0.000607299
16.15,0.103613,0.0291263,0.0146774,0.000606285
16.1667,0.103637,0.029127,0.0146765,0.00060637
16.1833,0.103659,0.0291276,0.014676,0.000605525
16.2,0.103682,0.0291269,0.0146744,0.000604679
16.2167,0.103704,0.0291283,0.0146762,0.000605609
16.2333,0.103726,0.0291277,0.0146759,0.000605778
16.25,0.10375,0.0291286,0.0146752,0.000606116
16.2667,0.103773,0.0291293,0.0146748,0.000605271
16.2833,0.103796,0.0291301,0.0146763,0.000606708
16.3,0.103817,0.0291297,0.0146763,0.000607806
16.3167,0.10384,0.0291309,0.0146773,0.000607891
16.3333,0.103863,0.0291309,0.0146767,0.000606201
16.35,0.103885,0.0291318,0.0146768,0.000606708
16.3667,0.103908,0.0291314,0.0146772,0.000607046
16.3833,0.103931,0.029132,0.0146763,0.000605863
16.4,0.103952,0.0291335,0.0146757,0.000605694
16.4167,0.103975,0.0291341,0.014676,0.000605778
16.4333,0.103998,0.0291349,0.0146761,0.000606032
16.45,0.10402,0.0291362,0.0146762,0.000606032
16.4667,0.104043,0.0291349,0.0146761,0.000605863
16.4833,0.104066,0.0291356,0.0146769,0.000606877
16.5,0.104089,0.0291359,0.0146763,0.000605356
16.5167,0.104111,0.0291352,0.0146758,0.000604933
16.5333,0.104133,0.0291353,0.0146763,0.000605778
16.55,0.104156,0.029135,0.0146771,0.000606792
16.5667,0.104178,0.0291359,0.0146774,0.000607637
16.5833,0.104201,0.0291364,0.0146775,0.000607975
16.6,0.104224,0.0291364,0.0146771,0.000608144
16.6167,0.104245,0.0291365,0.014676,0.000607637
16.6333,0.104268,0.0291371,0.0146761,0.000606792
16.65,0.10429,0.0291379,0.0146785,0.000607722
16.6667,0.104311,0.0291385,0.014678,0.000607891
16.6833,0.104333,0.0291388,0.0146772,0.000608567
16.7,0.104356,0.0291395,0.0146755,0.000606539
16.7167,0.104378,0.0291391,0.0146756,0.000606032
16.7333,0.104401,0.0291406,0.0146764,0.000606708
16.75,0.104423,0.0291415,0.0146771,0.000607806
16.7667,0.104445,0.0291411,0.0146776,0.000608736
16.7833,0.104468,0.0291406,0.014677,0.000607891
16.8,0.10449,0.029141,0.0146779,0.00060882
16.8167,0.104512,0.0291414,0.0146775,0.000608144
16.8333,0.104534,0.0291415,0.0146769,0.000607722
16.85,0.104557,0.0291426,0.0146766,0.000608229
16.8667,0.104579,0.0291427,0.0146779,0.000608651
16.8833,0.104601,0.0291421,0.0146785,0.000609412
16.9,0.104624,0.0291433,0.0146789,0.000609666
16.9167,0.104647,0.0291434,0.0146776,0.000608905
16.9333,0.104669,0.0291432,0.0146782,0.000609581
16.95,0.104691,0.029145,0.014678,0.000608229
16.9667,0.104713,0.0291457,0.0146779,0.000607891
16.9833,0.104735,0.0291466,0.0146773,0.000607553
17,0.104757,0.0291465,0.0146763,0.000606708
17.0167,0.104781,0.0291469,0.0146758,0.000606623
17.0333,0.104802,0.029147,0.0146762,0.00060637
17.05,0.104823,0.0291485,0.0146763,0.000607299
17.0667,0.104846,0.0291488,0.0146748,0.000605947
17.0833,0.104868,0.0291488,0.0146744,0.000605187
17.1,0.10489,0.0291483,0.014676,0.000606116
17.1167,0.104912,0.0291494,0.0146754,0.000605356
17.1333,0.104933,0.02915,0.0146754,0.000606708
17.15,0.104954,0.02915,0.0146753,0.000607215
17.1667,0.104978,0.0291512,0.0146751,0.000605102
17.1833,0.104998,0.0291505,0.0146747,0.000605609
